user_id,track_id,session_id,favourite_genres,genres,skipped
101,2PmGtDUyJIpYBEtI1hQIVp,124,"['permanent wave', 'mandopop', 'funk']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
103,2PmGtDUyJIpYBEtI1hQIVp,151,"['filmi', 'regional mexican', 'folk']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
132,2PmGtDUyJIpYBEtI1hQIVp,544,"['psychedelic rock', 'country rock', 'rock en espanol']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
132,5yxYokipsWlpDCt4Th4VVc,534,"['psychedelic rock', 'country rock', 'rock en espanol']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
132,5yxYokipsWlpDCt4Th4VVc,547,"['psychedelic rock', 'country rock', 'rock en espanol']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
107,5yxYokipsWlpDCt4Th4VVc,209,"['latin alternative', 'alternative rock', 'classic rock']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
147,0zXR2wUpFVIEJUaYos7vwc,716,"['soft rock', 'hoerspiel', 'ranchera']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",True
147,5yxYokipsWlpDCt4Th4VVc,718,"['soft rock', 'hoerspiel', 'ranchera']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",True
147,5yxYokipsWlpDCt4Th4VVc,727,"['soft rock', 'hoerspiel', 'ranchera']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",True
147,5yxYokipsWlpDCt4Th4VVc,729,"['soft rock', 'hoerspiel', 'ranchera']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",True
104,0zXR2wUpFVIEJUaYos7vwc,165,"['tropical', 'new wave', 'latin']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",True
104,4WXqyVUobIKtnYHtb06RwN,167,"['tropical', 'new wave', 'latin']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
130,0zXR2wUpFVIEJUaYos7vwc,513,"['funk', 'filmi', 'metal']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
130,4WXqyVUobIKtnYHtb06RwN,522,"['funk', 'filmi', 'metal']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
130,5yxYokipsWlpDCt4Th4VVc,521,"['funk', 'filmi', 'metal']","['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'protopunk', 'psychedelic rock', 'rock']",False
